Fecha de suscripción,Nombre del Producto,Moneda,Cantidad,Tipo,De,Estado
25-08-19 15:17:59,BTC,BTC,0.01,Normal,SPOT,Success
25-08-19 08:07:12,USDC,USDC,0.07590357,Auto,SPOT,Success
25-08-18 08:07:40,USDC,USDC,0.0758785,Auto,SPOT,Success
25-08-17 08:02:41,USDC,USDC,0.07585321,Auto,SPOT,Success
25-08-16 08:05:02,USDC,USDC,0.07582751,Auto,SPOT,Success
25-08-15 08:02:23,USDC,USDC,0.07580741,Auto,SPOT,Success
25-08-14 08:05:54,USDC,USDC,0.05400048,Auto,SPOT,Success
25-08-13 22:58:28,USDC,USDC,79.53174714,Auto,SPOT,Success
25-08-13 08:04:45,USDC,USDC,0.05398346,Auto,SPOT,Success
25-08-12 08:03:13,USDC,USDC,0.05397257,Auto,SPOT,Success
25-08-11 22:56:19,USDC,USDC,0.00206156,Auto,SPOT,Success
25-08-11 08:03:10,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-10 08:00:58,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-09 08:05:41,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-08 08:03:59,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-07 08:04:10,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-06 08:02:44,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-05 08:03:11,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-04 22:55:23,USDC,USDC,5.01506044,Auto,SPOT,Success
25-08-04 08:01:32,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-03 08:00:12,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-02 22:54:56,USDC,USDC,0.32124032,Auto,SPOT,Success
25-08-02 08:01:34,USDC,USDC,0.027397,Auto,SPOT,Success
25-08-01 08:00:59,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-31 07:58:12,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-30 07:57:03,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-29 07:58:16,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-28 07:57:18,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-27 07:53:01,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-26 07:55:31,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-25 07:57:09,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-24 07:56:33,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-23 07:54:21,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-22 07:54:48,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-21 07:58:31,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-20 07:52:48,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-19 07:59:51,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-18 07:58:38,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-17 07:55:11,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-16 07:52:02,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-15 07:53:00,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-14 08:04:53,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-13 08:03:07,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-12 08:01:03,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-11 07:53:04,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-10 07:55:59,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-09 07:52:03,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-08 07:53:33,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-07 07:56:00,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-06 07:53:18,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-05 07:54:05,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-04 07:58:58,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-03 08:04:22,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-02 08:05:33,USDC,USDC,0.027397,Auto,SPOT,Success
25-07-01 07:54:18,USDC,USDC,0.027397,Auto,SPOT,Success
25-06-30 07:50:02,USDC,USDC,0.027397,Auto,SPOT,Success
25-06-29 07:44:14,USDC,USDC,0.027397,Auto,SPOT,Success
25-06-28 07:46:22,USDC,USDC,0.027397,Auto,SPOT,Success
