"date(UTC+0)","executed_qty","amount","price","side","symbol","fee","fee_coin","market_type","tax_id"
"2025-07-03 16:30:21","0.03500000000000000000","90.44340000000000000000","2584.09714286","SELL","ETH_USDT_PERP","0.04522172","USDT","Futures USDT","s_76"
"2025-07-03 18:13:00","0.00170000000000000000","186.39441000000000000000","109643.77058824","SELL","BTC_USDT_PERP","0.03727892","USDT","Futures USDT","s_77"
"2025-07-03 22:27:11","0.06510000000000000000","169.06599100000000000000","2597.01983103","SELL","ETH_USDT","0.08453296","USDT","Spot","s_62"
"2025-07-03 23:23:44","0.19600000000000000000","509.13432000000000000000","2597.62408163","SELL","ETH_USDT_PERP","0.10182681","USDT","Futures USDT","s_78"
"2025-07-04 00:04:17","0.14000000000000000000","353.67100000000000000000","2526.22142857","BUY","ETH_USDT_PERP","0.07073419","USDT","Futures USDT","s_78"
"2025-07-04 01:01:54","0.03632000000000000000","91.53137130000000000000","2520.13687500","BUY","ETH_USDT","0.00001824","ETH","Spot","s_62"
"2025-07-04 03:26:03","0.00100000000000000000","108.06194000000000000000","108061.94000000","BUY","BTC_USDT_PERP","0.02161240","USDT","Futures USDT","s_77"
"2025-07-04 09:57:48","0.03000000000000000000","76.51980000000000000000","2550.66000000","SELL","ETH_USDT_PERP","0.03825990","USDT","Futures USDT","s_79"
"2025-07-04 10:01:17","0.03000000000000000000","76.58190000000000000000","2552.73000000","BUY","ETH_USDT_PERP","0.03829095","USDT","Futures USDT","s_79"
"2025-07-04 10:03:13","0.03000000000000000000","76.61730000000000000000","2553.91000000","BUY","ETH_USDT_PERP","0.03830865","USDT","Futures USDT","s_80"
"2025-07-04 10:15:53","0.03000000000000000000","76.53750000000000000000","2551.25000000","SELL","ETH_USDT_PERP","0.03826875","USDT","Futures USDT","s_80"
"2025-07-04 11:28:33","0.00294728000000000000","7.53498657520000000000","2556.59000000","BUY","ETH_USDT","0.00000147","ETH","Spot","s_0"
"2025-07-04 11:51:40","0.00294000000000000000","7.59108000000000000000","2582.00000000","SELL","ETH_USDT","0.00379554","USDT","Spot","s_0"
"2025-07-04 19:24:35","0.00180000000000000000","195.20865000000000000000","108449.25000000","SELL","BTC_USDT_PERP","0.03904176","USDT","Futures USDT","s_77"
"2025-07-04 23:40:55","0.06129000000000000000","155.44176850000000000000","2536.16851852","SELL","ETH_USDT","0.07772090","USDT","Spot","s_62"
"2025-07-04 23:41:43","0.20400000000000000000","516.59668000000000000000","2532.33666667","SELL","ETH_USDT_PERP","0.10331935","USDT","Futures USDT","s_78"
"2025-07-05 00:04:05","0.08000000000000000000","200.54580000000000000000","2506.82250000","BUY","ETH_USDT_PERP","0.04010910","USDT","Futures USDT","s_78"
"2025-07-05 00:19:10","0.02501000000000000000","62.72087850000000000000","2507.83200720","BUY","ETH_USDT","0.00001256","ETH","Spot","s_62"
"2025-07-05 03:01:49","0.00030000000000000000","32.36877000000000000000","107895.90000000","BUY","BTC_USDT_PERP","0.00647376","USDT","Futures USDT","s_77"
"2025-07-05 16:37:23","0.00030000000000000000","32.44347000000000000000","108144.90000000","SELL","BTC_USDT_PERP","0.00648870","USDT","Futures USDT","s_77"
"2025-07-05 20:28:24","0.02724000000000000000","68.48256310000000000000","2514.04416667","SELL","ETH_USDT","0.03424128","USDT","Spot","s_62"
"2025-07-05 23:52:24","0.08000000000000000000","200.92364000000000000000","2511.54550000","SELL","ETH_USDT_PERP","0.04018467","USDT","Futures USDT","s_78"
"2025-07-06 04:03:40","0.07200000000000000000","182.85756000000000000000","2539.68833333","BUY","ETH_USDT_PERP","0.03657153","USDT","Futures USDT","s_78"
"2025-07-06 06:17:35","0.04767000000000000000","121.61776970000000000000","2551.24333333","BUY","ETH_USDT","0.00002394","ETH","Spot","s_62"
"2025-07-06 13:23:18","0.00120000000000000000","130.37148000000000000000","108642.90000000","BUY","BTC_USDT_PERP","0.02607432","USDT","Futures USDT","s_77"
"2025-07-06 21:30:41","0.09200000000000000000","234.46656000000000000000","2548.54956522","SELL","ETH_USDT_PERP","0.05621939","USDT","Futures USDT","s_78"
"2025-07-06 23:01:53","0.00090000000000000000","98.00271000000000000000","108891.90000000","SELL","BTC_USDT_PERP","0.01960056","USDT","Futures USDT","s_77"
"2025-07-06 23:13:42","0.11100000000000000000","284.84241000000000000000","2566.14783784","BUY","ETH_USDT_PERP","0.12636119","USDT","Futures USDT","s_81"
"2025-07-06 23:24:45","0.03178000000000000000","81.28708830000000000000","2557.80642857","SELL","ETH_USDT","0.04064354","USDT","Spot","s_62"
"2025-07-06 23:35:40","0.01200000000000000000","30.91413000000000000000","2576.17750000","SELL","ETH_USDT_PERP","0.00618282","USDT","Futures USDT","s_81"
"2025-07-07 00:08:01","0.07800000000000000000","199.65243000000000000000","2559.64653846","BUY","ETH_USDT_PERP","0.03993047","USDT","Futures USDT","s_81"
"2025-07-07 00:08:01","0.06133000000000000000","156.11304710000000000000","2545.45976031","BUY","ETH_USDT","0.00003080","ETH","Spot","s_62"
"2025-07-07 02:01:08","0.00080000000000000000","86.79812000000000000000","108497.65000000","BUY","BTC_USDT_PERP","0.01735964","USDT","Futures USDT","s_77"
"2025-07-07 14:39:37","0.17700000000000000000","450.24717000000000000000","2543.76932203","SELL","ETH_USDT_PERP","0.17205546","USDT","Futures USDT","s_81"
"2025-07-07 14:40:40","0.08100000000000000000","204.96921000000000000000","2530.48407407","BUY","ETH_USDT_PERP","0.04099390","USDT","Futures USDT","s_82"
"2025-07-07 16:50:05","0.00150000000000000000","162.24390000000000000000","108162.60000000","SELL","BTC_USDT_PERP","0.06158865","USDT","Futures USDT","s_77"
