"position_id","symbol","position_side","open_time","close_time","pnl","fee","funding_fee"
"42975442786934_77_BTC_USDT_PERP_L_42085495697","BTC_USDT_PERP","long","2025-07-03 14:08:52","2025-07-03 14:23:36","0.024890000000000000","-0.0044071340","0.0000000000"
"42975442786934_78_ETH_USDT_PERP_S_45600907263","ETH_USDT_PERP","short","2025-07-03 13:37:19","2025-07-03 14:26:15","0.259800000000000000","-0.0461690480","0.0000000000"
"42975442786934_76_ETH_USDT_PERP_S_45614326106","ETH_USDT_PERP","short","2025-07-03 16:30:21","2025-07-03 17:44:37","-0.019850000000000000","-0.0128605250","0.0000000000"
"42975442786934_79_ETH_USDT_PERP_S_45651765444","ETH_USDT_PERP","short","2025-07-04 09:57:48","2025-07-04 10:01:17","-0.062100000000000000","-0.0765508500","0.0000000000"
"42975442786934_80_ETH_USDT_PERP_L_45651936700","ETH_USDT_PERP","long","2025-07-04 10:03:13","2025-07-04 10:15:53","-0.079800000000000000","-0.0765774000","0.0000000000"
"42975442786934_78_ETH_USDT_PERP_L_45606059490","ETH_USDT_PERP","long","2025-07-03 14:28:30","2025-07-06 21:30:41","2.558880000000000000","-0.4764775880","-0.0591189499"
"42975442786934_81_ETH_USDT_PERP_L_45769413771","ETH_USDT_PERP","long","2025-07-06 23:13:42","2025-07-07 14:39:37","-3.333540000000000000","-0.3445299480","-0.0455484608"
"42975442786934_77_BTC_USDT_PERP_L_42086647714","BTC_USDT_PERP","long","2025-07-03 14:25:27","2025-07-07 16:50:05","0.101220000000000000","-0.2637092700","-0.0291157761"
"42975442786934_82_ETH_USDT_PERP_S_45807236143","ETH_USDT_PERP","short","2025-07-07 14:40:40","2025-07-08 06:43:37","-1.808940000000000000","-0.3417489840","0.0118215194"
"42975442786934_84_ETH_USDT_PERP_L_45916850503","ETH_USDT_PERP","long","2025-07-09 13:00:10","2025-07-10 14:26:45","0.731800000000000000","-0.0272623000","-0.0044054209"
"42975442786934_84_ETH_USDT_PERP_L_46011121673","ETH_USDT_PERP","long","2025-07-10 18:00:14","2025-07-11 15:54:44","0.606500000000000000","-0.0144242000","-0.0029578016"
"42975442786934_89_ETH_USDT_PERP_L_46120607409","ETH_USDT_PERP","long","2025-07-11 20:00:17","2025-07-12 12:37:31","-2.859340000000000000","-0.1217408900","-0.0191241615"
"42975442786934_89_ETH_USDT_PERP_L_46462849311","ETH_USDT_PERP","long","2025-07-16 07:00:05","2025-07-18 20:07:12","12.782760000000000000","-0.1235056300","-0.1009821237"
"42975442786934_89_ETH_USDT_PERP_L_46900512205","ETH_USDT_PERP","long","2025-07-20 12:00:08","2025-07-20 22:16:43","-1.897350000000000000","-0.1454187150","-0.0147630210"
"42975442786934_89_ETH_USDT_PERP_L_46976267553","ETH_USDT_PERP","long","2025-07-21 06:00:04","2025-07-22 01:04:04","-1.972100000000000000","-0.1389442500","-0.0420201970"
"42975442786934_89_ETH_USDT_PERP_L_47259204205","ETH_USDT_PERP","long","2025-07-24 01:00:07","2025-07-24 06:41:26","-3.816920000000000000","-0.1329202800","0.0000000000"
"42975442786934_89_ETH_USDT_PERP_L_47320330455","ETH_USDT_PERP","long","2025-07-24 15:00:10","2025-07-25 02:46:44","-3.648880000000000000","-0.1253002000","-0.0252837260"
"42975442786934_89_ETH_USDT_PERP_L_47610257052","ETH_USDT_PERP","long","2025-07-28 06:00:06","2025-07-28 13:25:41","-2.652900000000000000","-0.1165411500","-0.0116760900"
"42975442786934_89_ETH_USDT_PERP_L_47710303752","ETH_USDT_PERP","long","2025-07-29 07:00:05","2025-07-29 14:54:40","-1.707810000000000000","-0.1102485750","-0.0112185361"
"42975442786934_86_ETH_USDT_PERP_S_47968755469","ETH_USDT_PERP","short","2025-08-01 00:15:02","2025-08-01 02:15:03","-1.544960000000000000","-0.1251978600","0.0000000000"
"42975442786934_88_ETH_USDT_PERP_S_48072280102","ETH_USDT_PERP","short","2025-08-01 19:00:13","2025-08-03 10:58:46","1.355760000000000000","-0.0738828300","0.0195624560"
"42975442786934_86_ETH_USDT_PERP_L_48347111834","ETH_USDT_PERP","long","2025-08-04 16:45:03","2025-08-05 04:45:03","-1.187200000000000000","-0.1172960000","-0.0000266845"
"42975442786934_86_ETH_USDT_PERP_L_48637159349","ETH_USDT_PERP","long","2025-08-07 13:45:07","2025-08-07 14:45:04","-1.185300000000000000","-0.1150771500","0.0000000000"
"42975442786934_116_ETH_USDT_PERP_L_48807890497","ETH_USDT_PERP","long","2025-08-09 06:42:09","2025-08-09 07:16:54","1.564510000000000000","-0.6867605770","0.0000000000"
"42975442786934_117_ETH_USDT_PERP_L_48809912662","ETH_USDT_PERP","long","2025-08-09 07:18:02","2025-08-09 08:35:29","1.781000000000000000","-0.6190160210","-0.0650473200"
